part_number,description,color_code,color_name,quantity,image_file
87083,Technic Axle 4 with Stop,8,Dark Gray,2,87083_Dark_Gray.png
4864,Panel 1 x 2 x 2 Reinforced with Hollow Studs,4,Red,16,4864_Red.png
87580,Plate 2 x 2 with Groove with 1 Center Stud,1,Blue,1,87580_Blue.png
91988,Plate 2 x 14,19,Tan,6,91988_Tan.png
4532,Container Cupboard 2 x 3 x 2 with Hollow Studs,7,Light Gray,2,4532_Light_Gray.png
92280,Plate 1 x 2 with Single Clip on Top,7,Light Gray,2,92280_Light_Gray.png
92280,Plate 1 x 2 with Single Clip on Top,7,Red,8,92280_Red.png
92280,Plate 1 x 2 with Single Clip on Top,14,Yellow,4,92280_Yellow.png
93273,Slope Brick Curved 4 x 1 Double,0,Black,6,93273_Black.png
98138,Tile 1 x 1 Round with Groove,15,White,2,98138_White.png
98138,Tile 1 x 1 Round with Groove,33,Trans Dark Blue,68,98138_Trans_Dark_Blue.png
98138,Tile 1 x 1 Round with Groove,36,Trans Red,2,98138_Trans_Red.png
98138,Tile 1 x 1 Round with Groove,46,Trans Yellow,10,98138_Trans_Yellow.png
98263,Plate 1 x 4 with Square Towball Socket,7,Light Gray,3,98263_Light_Gray.png
99780,Bracket 1 x 2 - 1 x 2 Up,8,Dark Gray,4,99780_Dark_Gray.png
99780,Bracket 1 x 2 - 1 x 2 Up,14,Yellow,4,
