Part,Description,Color ID,Color Name,Couleur RGB,Quantity,BrickLink URL,Found
32269,Technic Gear 20 Tooth Double Bevel,19,Tan,#B0A06F,1,https://davidlilien.github.io/images_giant_booster/image-006-114_1753130823.jpg,0
32270,Technic Gear 12 Tooth Double Bevel,0,Black,#1B2A34,3,https://davidlilien.github.io/images_giant_booster/image-006-115_1753130823.jpg,0
32523,Technic Beam 3,15,White,#FFFFFF,2,https://davidlilien.github.io/images_giant_booster/image-006-116_1753130823.jpg,0
32556,Technic Pin Long,7,Light Grey,#A0A5A9,2,https://davidlilien.github.io/images_giant_booster/image-006-117_1753130823.jpg,0
3297,Slope Brick 33 3 x 4,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-007-118_1753130823.jpg,0
3297,Slope Brick 33 3 x 4,14,Yellow,#FAC80A,4,https://davidlilien.github.io/images_giant_booster/image-007-119_1753130823.jpg,0
3460,Plate 1 x 8,4,Red,#B40000,16,https://davidlilien.github.io/images_giant_booster/image-007-120_1753130823.jpg,0
3460,Plate 1 x 8,14,Yellow,#FAC80A,3,https://davidlilien.github.io/images_giant_booster/image-007-121_1753130823.jpg,0
3483,Tyre 7/56 x 17 Offset Tread,0,Black,#1B2A34,1,https://davidlilien.github.io/images_giant_booster/image-007-122_1753130823.jpg,0
3622,Brick 1 x 3,4,Red,#B40000,8,https://davidlilien.github.io/images_giant_booster/image-007-123_1753130823.jpg,0
3623,Plate 1 x 3,4,Red,#B40000,1,https://davidlilien.github.io/images_giant_booster/image-007-124_1753130823.jpg,0
3647,Technic Gear 8 Tooth,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-007-125_1753130823.jpg,0
3649,Technic Gear 40 Tooth,7,Light Grey,#A0A5A9,6,https://davidlilien.github.io/images_giant_booster/image-007-126_1753130823.jpg,0
3660,Slope Brick 45 2 x 2 Inverted,4,Red,#B40000,3,https://davidlilien.github.io/images_giant_booster/image-007-127_1753130823.jpg,0
3660,Slope Brick 45 2 x 2 Inverted,14,Yellow,#FAC80A,12,https://davidlilien.github.io/images_giant_booster/image-007-128_1753130823.jpg,0
